year	district	crop	season	irrigation	soil_type	seed_variety	field_area	rainfall	yield
2015	angul	rice	kharif	none	alluvial	hybrid	1.74	904	3467
2015	angul	rice	zaid	drip	alluvial	hybrid	2.4	105	3838
2015	angul	maize	kharif	tubewell	alluvial	hybrid	1.39	1358	5172
2015	angul	maize	rabi	lift	lateritic	hyv	3.15	51	4147
2015	angul	maize	zaid	tubewell	saline	hyv	1.75	245	3029
2015	angul	wheat	kharif	canal	alluvial	local	2.21	1152	3539
2015	angul	wheat	rabi	drip	red_black	local	3.78	299	3863
2015	angul	wheat	zaid	lift	alluvial	hybrid	1.82	276	4398
2015	angul	groundnut	kharif	canal	lateritic	hybrid	0.81	1096	2830
2015	angul	groundnut	rabi	none	lateritic	local	2.21	263	1774
2015	angul	groundnut	zaid	canal	lateritic	hyv	2.1	229	2610
2015	angul	mung	kharif	none	lateritic	hybrid	3.78	1188	899
2015	angul	mung	rabi	canal	lateritic	hybrid	1.96	64	1296
2015	angul	mung	zaid	tubewell	alluvial	hyv	2.31	283	1056
2015	angul	cotton	kharif	drip	red_black	local	3.45	1458	1511
2015	angul	cotton	rabi	lift	lateritic	hyv	1.13	187	1629
2015	angul	sugarcane	kharif	canal	saline	hybrid	2.3	941	71432
2015	angul	sugarcane	rabi	drip	saline	local	3.9	89	74923
2015	angul	turmeric	kharif	tubewell	saline	hybrid	0.79	1279	4629
2015	angul	turmeric	rabi	drip	red_black	hybrid	4.37	234	5547
2015	balangir	rice	kharif	none	red_black	hybrid	2.03	961	3224
2015	balangir	rice	zaid	canal	lateritic	hybrid	4.61	126	4166
2015	balangir	maize	kharif	drip	lateritic	local	2.18	1343	3504
2015	balangir	maize	rabi	none	red_black	hyv	0.59	274	3894
2015	balangir	maize	zaid	canal	lateritic	local	1.58	70	3672
2015	balangir	wheat	kharif	none	saline	local	4.9	928	2261
2015	balangir	wheat	rabi	tubewell	saline	hybrid	1.24	205	3557
2015	balangir	wheat	zaid	lift	lateritic	hybrid	3.9	232	4069
2015	balangir	groundnut	kharif	canal	saline	hybrid	3.42	1329	2119
2015	balangir	groundnut	rabi	lift	alluvial	local	1.51	200	2072
2015	balangir	groundnut	zaid	drip	lateritic	hybrid	1.49	211	2548
2015	balangir	mung	kharif	none	lateritic	local	4.57	872	886
2015	balangir	mung	rabi	drip	lateritic	hyv	3.51	83	1093
2015	balangir	mung	zaid	drip	saline	local	4.03	98	908
2015	balangir	cotton	kharif	none	alluvial	hybrid	2.44	1278	1612
2015	balangir	cotton	rabi	none	alluvial	local	2.31	270	1256
2015	balangir	sugarcane	kharif	none	lateritic	local	1.36	1232	63997
2015	balangir	sugarcane	rabi	tubewell	red_black	hyv	1.62	163	101090
2015	balangir	turmeric	kharif	drip	alluvial	local	3.43	815	5789
2015	balangir	turmeric	rabi	none	lateritic	local	2.33	271	3977
2015	balasore	rice	kharif	lift	alluvial	local	2.21	1071	3811
2015	balasore	rice	zaid	lift	red_black	hyv	3.63	250	3381
2015	balasore	maize	kharif	drip	saline	local	1.35	859	2855
2015	balasore	maize	rabi	drip	alluvial	hybrid	1.91	172	4638
2015	balasore	maize	zaid	drip	lateritic	local	4.82	97	3408
2015	balasore	wheat	kharif	none	alluvial	hybrid	4.38	1383	3738
2015	balasore	wheat	rabi	tubewell	alluvial	hybrid	0.87	194	5080
2015	balasore	wheat	zaid	drip	red_black	hyv	1.42	111	4457
2015	balasore	groundnut	kharif	canal	saline	local	3.52	1123	1624
2015	balasore	groundnut	rabi	none	alluvial	hyv	3.3	75	2320
2015	balasore	groundnut	zaid	none	lateritic	hybrid	1.69	275	2542
2015	balasore	mung	kharif	none	lateritic	hyv	1.78	1356	902
2015	balasore	mung	rabi	canal	alluvial	hybrid	4.18	219	1240
2015	balasore	mung	zaid	none	lateritic	hyv	1.02	191	811
2015	balasore	cotton	kharif	tubewell	red_black	hyv	3.22	1008	1764
2015	balasore	cotton	rabi	canal	saline	hyv	4.57	73	1462
2015	balasore	sugarcane	kharif	lift	red_black	local	0.52	1452	77315
2015	balasore	sugarcane	rabi	canal	lateritic	hybrid	2.49	193	103515
2015	balasore	turmeric	kharif	none	alluvial	local	4.75	952	4652
2015	balasore	turmeric	rabi	drip	alluvial	hyv	3.12	82	5883
2015	bargarh	rice	kharif	none	red_black	hyv	4.55	840	3443
2015	bargarh	rice	zaid	tubewell	lateritic	hybrid	0.96	276	4065
2015	bargarh	maize	kharif	lift	lateritic	local	4.39	981	3771
2015	bargarh	maize	rabi	lift	alluvial	local	3.81	288	3447
2015	bargarh	maize	zaid	lift	lateritic	hyv	1.22	147	4024
2015	bargarh	wheat	kharif	none	saline	local	1.4	1158	2521
2015	bargarh	wheat	rabi	canal	lateritic	local	0.61	134	3203
2015	bargarh	wheat	zaid	canal	alluvial	hyv	2.08	223	4262
2015	bargarh	groundnut	kharif	drip	red_black	local	1.02	982	2670
